usuario_id,producto_id,tipo_evento,dwell_time_segundos,precio_pagado,metodo_pago,es_fin_de_semana,created_at,carrera,genero,nombre,categoria_general,tiene_gpu_dedicada,student_group
43620b89-7966-4ee0-82a2-95cfb1bf0c9a,p36,view,,,,False,2026-06-27 01:57:42.264360+00:00,Ingeniería en Datos e IA,Masculino,Gigabyte G5 KF (RTX 4060),Laptop,True,Data Engineering
sim_de_8996,p28,view,19.89,,,False,2026-06-16 18:03:04.920332,Ingeniería en Datos e IA,Femenino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_8339,p29,view,17.22,,,False,2026-06-19 18:03:04.922868,Ingeniería en Datos e IA,No binario,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_2060,p30,view,20.52,,,False,2026-06-12 18:03:04.922868,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_1699,p26,view,24.2,,,True,2026-06-04 18:03:04.922868,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_7102,p26,view,16.82,,,False,2026-06-15 18:03:04.922868,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_6854,p36,view,16.82,,,False,2026-06-25 18:03:04.922868,Ingeniería en Datos e IA,Femenino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_8455,p36,view,24.43,,,False,2026-06-06 18:03:04.922868,Ingeniería en Datos e IA,Femenino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_1784,p26,view,21.02,,,True,2026-06-11 18:03:04.922868,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_6596,p27,view,15.83,,,False,2026-06-30 18:03:04.923881,Ingeniería en Datos e IA,Femenino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_9716,p29,view,20.08,,,False,2026-06-08 18:03:04.923881,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_3368,p36,view,15.85,,,False,2026-06-21 18:03:04.923881,Ingeniería en Datos e IA,No binario,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_6919,p36,view,15.84,,,False,2026-06-07 18:03:04.923881,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_2148,p36,view,18.82,,,False,2026-06-11 18:03:04.923881,Ingeniería en Datos e IA,Femenino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_5777,p36,view,9.76,,,False,2026-06-22 18:03:04.923881,Ingeniería en Datos e IA,Femenino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_4124,p29,view,10.56,,,True,2026-06-28 18:03:04.923881,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_5869,p30,view,15.44,,,True,2026-06-18 18:03:04.923881,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_8079,p29,view,13.55,,,True,2026-06-15 18:03:04.923881,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_2693,p28,view,19.12,,,False,2026-06-14 18:03:04.923881,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_9932,p27,view,13.99,,,False,2026-06-10 18:03:04.923881,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_2931,p30,view,11.87,,,True,2026-06-07 18:03:04.923881,Ingeniería en Datos e IA,Femenino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_8805,p36,view,23.96,,,False,2026-06-25 18:03:04.923881,Ingeniería en Datos e IA,No binario,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_4343,p30,view,16.85,,,False,2026-06-28 18:03:04.923881,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
sim_de_9130,p29,view,18.08,,,False,2026-06-14 18:03:04.923881,Ingeniería en Datos e IA,Masculino,Simulated GPU Laptop View,Laptop,True,Data Engineering
